3, 26490, 77
3, 22490, 114
3, 24990, 114
3, 33500, 110
3, 35500, 110
3, 32990, 147
3, 42800, 84
3, 45300, 164
3, 40550, 140
3, 41900, 84
2, 16550, 63
2, 21780, 66
2, 25250, 91
2, 19990, 110
2, 19990, 78
2, 24640, 85
2, 26790, 96
2, 26990, 100
2, 26255, 88
2, 24990, 107
1, 6890, 55
1, 8990, 52
1, 11950, 55
1, 13490, 55
1, 11790, 44
1, 13990, 55
1, 11190, 69
1, 11990, 51
1, 12790, 55
1, 12990, 66
0, 8890, 51
0, 8890, 51
0, 10950, 51
0, 9950, 49
0, 9690, 50
0, 12160, 50
0, 10550, 49
0, 8890, 44
0, 10335, 45
0, 10990, 52
