0, 26490, 77
0, 22490, 114
0, 24990, 114
0, 33500, 110
0, 35500, 110
0, 32990, 147
0, 42800, 84
0, 45300, 164
0, 40550, 140
0, 41900, 84
0, 16550, 63
0, 21780, 66
0, 25250, 91
0, 19990, 110
0, 19990, 78
0, 24640, 85
0, 26790, 96
0, 26990, 100
0, 26255, 88
0, 24990, 107
1, 6890, 55
1, 8990, 52
1, 11950, 55
1, 13490, 55
1, 11790, 44
1, 13990, 55
1, 11190, 69
1, 11990, 51
1, 12790, 55
1, 12990, 66
1, 8890, 51
1, 8890, 51
1, 10950, 51
1, 9950, 49
1, 9690, 50
1, 12160, 50
1, 10550, 49
1, 8890, 44
1, 10335, 45
1, 10990, 52
